stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
7178,57109,EB 40 AVE FS 200A ST,40 AVE @ 200A ST,49.074633,-122.667761,ZN 99, ,0,
7179,57110,EB 40 AVE FS 202 ST,40 AVE @ 202 ST,49.074626,-122.663581,ZN 99, ,0,
7071,57003,NB 208 ST FS 44 AVE,208 ST @ 44 AVE,49.082340,-122.647006,ZN 99, ,0,
7072,57004,NB 208 ST FS 45A AVE,208 ST @ 45A AVE,49.084791,-122.646880,ZN 99, ,0,
7073,57005,WB GRADE CRES FS 208 ST,GRADE CRES @ 208 ST,49.087851,-122.648549,ZN 99, ,0,
7074,57006,WB GRADE CRES AT 20400 BLOCK,GRADE CRES @ 20400 BLOCK,49.089094,-122.656772,ZN 99, ,0,
8945,58558,WB GRADE CRES FS 203 ST,GRADE CRES @ 203 ST,49.090089,-122.660288,ZN 99, ,0,
8946,58559,WB GRADE CRES NS 200 ST,GRADE CRES @ 200 ST,49.092069,-122.667274,ZN 99, ,0,
9011,58646,NB 208 ST FS 40 AVE,208 ST @ 40 AVE,49.075012,-122.647367,ZN 99, ,0,
9013,58644,EB 40 AVE FS 204 ST,40 AVE @ 204 ST,49.074618,-122.658125,ZN 99, ,0,
9014,58645,EB 40 AVE NS 206A ST,40 AVE @ 206A ST,49.074548,-122.652728,ZN 99, ,0,
7070,57002,NB 208 ST FS 42 AVE,208 ST @ 42 AVE,49.078766,-122.647183,ZN 99, ,0,
9024,58338,NB 200 ST FS 22 AVE,200 ST @ 22 AVE,49.042347,-122.669245,ZN 99, ,0,
9026,57123,EB 20 AVE FS 198 ST,20 AVE @ 198 ST,49.038376,-122.674191,ZN 99, ,0,
9025,57124,NB 200 ST FS 20 AVE,200 ST @ 20 AVE,49.038776,-122.669248,ZN 99, ,0,
9030,58716,NB 200 ST FS 37 AVE,200 ST @ 37 AVE,49.069523,-122.669414,ZN 99, ,0,
9435,58733,NB 203 ST FS 56 AVE,203 ST @ 56 AVE,49.104588,-122.660101,ZN 99, ,0,
7197,57127,NB 200 ST FS 30 AVE,200 ST @ 30 AVE,49.057724,-122.669416,ZN 99, ,0,
7087,57019,EB 53 AVE FS 200 ST,53 AVE @ 200 ST,49.098383,-122.668086,ZN 99, ,0,
7088,57020,EB 53 AVE FS 201A ST,53 AVE @ 201A ST,49.098391,-122.663959,ZN 99, ,0,
5360,55307,NB 203 ST FS 53 AVE,203 ST @ 53 AVE,49.099278,-122.659710,ZN 99, ,0,
5361,55308,NB 203 ST FS 54 AVE,203 ST @ 54 AVE,49.100856,-122.659651,ZN 99, ,0,
5362,55309,NB 203 ST NS MICHAUD CRES,203 ST @ MICHAUD CRES,49.103109,-122.659606,ZN 99, ,0,
7127,57059,EB 96 AVE FS 190 ST,96 AVE @ 190 ST,49.176926,-122.694776,ZN 99, ,0,
7128,57060,EB 96 AVE FS 192 ST,96 AVE @ 192 ST,49.176884,-122.689214,ZN 99, ,0,
7129,57061,EB 96 AVE FS 195 ST,96 AVE @ 195 ST,49.176911,-122.681788,ZN 99, ,0,
7130,57062,EB 96 AVE FS 198 ST,96 AVE @ 198 ST,49.176925,-122.673076,ZN 99, ,0,
7132,61487,SB 200 ST AT 9200 BLOCK,200 ST @ 9200 BLOCK,49.172425,-122.668235,ZN 99, ,0,
9592,59143,EB 91A AVE AT 20100 BLOCK,91A AVE @ 20100 BLOCK,49.168978,-122.664864,ZN 99, ,0,
7138,57070,SB 200 ST FS 80 AVE,200 ST @ 80 AVE,49.147449,-122.668434,ZN 99, ,0,
7139,57071,SB 200 ST AT 7500 BLOCK,200 ST @ 7500 BLOCK,49.140473,-122.668428,ZN 99, ,0,
7140,57072,SB 200 ST FS 72 AVE,200 ST @ 72 AVE,49.133118,-122.668534,ZN 99, ,0,
7142,57074,SB 200 ST FS 68 AVE,200 ST @ 68 AVE,49.125762,-122.668626,ZN 99, ,0,
7143,57075,SB 200 ST FS WILLOUGHBY WAY,200 ST @ WILLOUGHBY WAY,49.122272,-122.668693,ZN 99, ,0,
